Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Minh Thư 5 - Cơm Chiên Gà Xối Mỡ,6.6,"56 Đường Số 17, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/minh-thu-5-com-chien-ga-xoi-mo
Gà Ta Tam Kỳ & Cơm Chiên Gà Xối Mỡ,8.0,"615 Tô Ngọc Vân,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/ga-ta-tam-ky-com-chien-ga-xoi-mo
Cô Liên - Xôi & Bánh Mì,_._,"179A Hoàng Diệu 2, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-lien-xoi-banh-mi
Xôi Xao Xuyến - Tô Ngọc Vân,_._,"46 Tô Ngọc Vân. P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-xao-xuyen-to-ngoc-van
"Cô Tư - Bánh Mì, Xôi Mặn & Mì Xào Bò",_._,"419/12 Đường Số 48, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-tu-banh-mi-xoi-man-mi-xao-bo
Xôi Hiền - Đường Số 23,_._,"36/1 Đường Số 23, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-hien-duong-so-23
Cơm Chiên Dương Châu & Cơm Gà Xối Mỡ,8.2,"1 Võ Văn Ngân,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-chien-duong-chau-ga-xoi-mo
Hia - Xôi & Bánh Giò,_._,"12 Bình Chiểu, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hia-xoi-banh-gio
Xôi Cậu Út,_._,"323 Quốc Lộ 13, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-cau-ut
SIU FOOD - Cơm Gà Xối Mỡ - Hiệp Bình,10.0,"132 Hiệp Bình, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/siu-food-com-ga-xoi-mo-hiep-binh
Thành Tài - Cơm Gà Xối Mỡ & Cơm Tấm Sườn Nướng,6.9,"Đường A2 (Đối Diện Trường Đại Học Khoa Học Tự Nhiên),Tp. Thủ Đức,TP. HCM",3,https://www.foody.vn/ho-chi-minh/com-ga-thanh-tai
Xôi Hiền Hà Nội - Xôi Mặn - Đường Số 3,_._,"30 Đường Số 3, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-hien-ha-noi-xoi-man-duong-so-3
"Phúc Tâm An - Bún Đậu, Bún Chả Hà Nội & Cơm Gà Xối Mỡ",8.2,"1C1 Hoàng Diệu 2, KP2, P. Linh Trung,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/phuc-tam-an-bun-dau-bun-cha-ha-noi-com-ga-xoi-mo
Xôi Gà Gáy - Trần Văn Nửa,_._,"3 Trần Văn Nửa, P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-gay-tran-van-nua
Xôi Thịt Cút & Bánh Mì Bình Định,_._,"200A Quốc Lộ 13, KP. 2, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-thit-cut-banh-mi-binh-dinh
Hân Nấm - Xôi & Trà Sữa - 129 Hồ Văn Tư,_._,"129 Hồ Văn Tư, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/han-nam-xoi-tra-sua-129-ho-van-tu.ahglca
Bếp Nhà Gà - Xôi Viên Trứng Muối,_._,"13/34 Đường Số 12, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bep-nha-ga-xoi-vien-trung-muoi
"Cô Gái Nhỏ - Bánh Mì, Xôi Mặn & Bánh Bao",_._,"123 Quốc Lộ 13, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-gai-nho-banh-mi-xoi-man-banh-bao
Cơm Gà Xối Mỡ 58,7.5,"Quốc Lộ 13 Cũ,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-58
Cơm Gà Xối Mỡ 58,7.5,"Quốc Lộ 13 Cũ,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-58
A Quắn Cơm Gà Xối Mỡ,8.7,"908 Phạm Văn Đồng, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",3,https://www.foody.vn/ho-chi-minh/a-quan-com-ga-xoi-mo
Nam Việt - Xôi Xéo & Bắp Lá Chuối - Đường Số 4,_._,"15A Đường Số 4, Khu Phố 4, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nam-viet-xoi-xeo-bap-la-chuoi-duong-so-4
Cơm Gà Xối Mỡ Như Mai,_._,"12 Chương Dương, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nhu-mai-com-ga-xoi-mo
Lò Bánh Mì Bảo Châu - Heo Quay & Xôi Mặn - Hoàng Diệu 2,_._,"242 Hoàng Diệu 2, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/lo-banh-mi-bao-chau-heo-quay-xoi-man-hoang-dieu-2
"Xôi Cụ Nho - Xôi Xéo, Xôi Bắp & Xôi Khúc - Kha Vạn Cân",_._,"853 Kha Vạn Cân, P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-cu-nho-kha-van-can
"Xôi Cụ Nho - Xôi Xéo, Xôi Bắp & Xôi Khúc - 433 Quốc Lộ 13",_._,"433 QL13, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-cu-nho-433-quoc-lo-13
Xôi Bình Triệu,_._,"75 Quốc Lộ 13, KP1, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-binh-trieu
Xôi Văn Công,_._,"1068 Phạm Văn Đồng, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-van-cong
Hàng Xôi Út Tuyền - Xôi Mặn & Xôi Ngọt - Đường Số 4,_._,"228 Đường Số 4, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hang-xoi-ut-tuyen-xoi-man-xoi-ngot-duong-so-4.zjc9tc
Lửa Hồng - Cơm Chiên Gà Xối Mỡ,_._,"133 Hoàng Diệu 2,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/lua-hong-com-chien-ga-xoi-mo
Quỳnh Anh 2 - Cơm Chiên Gà Xối Mỡ - Làng Đại Học,10.0,"Đường T1 - Làng Đại Học (Đối Diện ĐH KH Tự Nhiên),Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quynh-anh-2-com-chien-ga-xoi-mo
Quán 43 - Cơm Chiên Gà Xối Mỡ - Tỉnh Lộ 43,10.0,"1086/1 Tỉnh Lộ 43, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quan-43-com-chien-ga-xoi-mo-tinh-lo-43
Bảo Như Cơm Gà Xối Mỡ,_._,"45 Đường Số 12, P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bao-nhu-com-ga-xoi-mo
Cơm Gà Xối Mỡ 24B,_._,"24B Tam Bình,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-24b
Huy Hoàng - Cơm Gà Xối Mỡ,_._,"100 Tam Hà, P. Tam Phú,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/huy-hoang-com-ga-xoi-mo
Cơm Gà Xối Mỡ Phượng - Tô Ngọc Vân,_._,"576 Tô Ngọc Vân, P. Tam Bình,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-phuong-to-ngoc-van
Phúc Lộc - Cơm Gà Xối Mỡ,_._,"59 Chương Dương,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phuc-loc-com-ga-xoi-mo
