Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Xôi Gà Bình Dân - Lê Trọng Tấn,_._,"389/5A Lê Trọng Tấn,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-binh-dan-le-trong-tan
Cơm Gà Xối Mỡ 142 - Lũy Bán Bích,7.9,"632 Lũy Bán Bích, P. Tân Thành,Quận Tân Phú,TP. HCM",3,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-142-luy-ban-bich
Anh Thư - Cơm Gà Xối Mỡ - Đường Số 27,8.6,"71 Đường Số 27, P. Sơn Kỳ,Quận Tân Phú,TP. HCM",3,https://www.foody.vn/ho-chi-minh/anh-thu-com-ga-xoi-mo-duong-so-27
Xôi Chiên Cô Hai,_._,"438 Tân Sơn Nhì,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-chien-co-hai
Xôi Cô Tư,_._,"43 Đường S11, P. Tây Thạnh,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-co-tu
Quỳnh Vy - Cơm Gà Xối Mỡ 20K,9.2,"65 Đường D9, P. Tây Thạnh,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quynh-vy-com-ga-xoi-mo-20k
Cơm Gà Xối Mỡ - 28 Vườn Lài,6.2,"28 Vườn Lài,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-vuon-lai
Thằng Bờm Food - Gỏi Vịt & Cơm Gà Xối Mỡ,7.0,"75/12/15 Kênh 19/5, P. Sơn Kỳ,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/thang-bom-food-goi-vit-com-ga-xoi-mo
A Chảy - Mì Sủi Cảo & Cơm Chiên Gà Xối Mỡ - Shop Online,5.4,"58/11 Nguyễn Văn Săng, P. Tân Sơn Nhì,Quận Tân Phú,TP. HCM",9,https://www.foody.vn/ho-chi-minh/a-chay-mi-sui-cao-com-chien-ga-xoi-mo-shop-online
Chè & Xôi - Tân Hòa Đông,_._,"29A Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/che-xoi-tan-hoa-dong
Cơm Gà Xối Mỡ Bin Bo Tân Phú - Cơm Gà Xối Mỡ - Nguyễn Văn Săng,_._,"3/1C Nguyễn Văn Săng, P. Tân Sơn Nhì,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-bin-bo-tan-phu-com-ga-xoi-mo-nguyen-van-sang.myygqq
Xôi Bắp Hầm - Âu Cơ,_._,"18A/025 Chung Cư Huỳnh Văn Chính, P. Phú Trung,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-bap-ham-au-co
Cơm Gà Xối Mỡ Long Ký,4.2,"116C Tây Thạnh, P. Tây Thạnh,Quận Tân Phú,TP. HCM",9,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-long-ky
Hệ thống Cơm Gà Xối Mỡ Thạch Lam,7.0,"6chi nhánh,6",34,https://www.foody.vn/thuong-hieu/com-ga-xoi-mo-thach-lam?c=ho-chi-minh
Hệ thống Cơm Gà Xối Mỡ Gia Bảo,9.0,"2chi nhánh,2",1,https://www.foody.vn/thuong-hieu/com-ga-xoi-mo-gia-bao?c=ho-chi-minh
Quán Cơm 68 - Cơm Gà Xối Mỡ & Cơm Chiên Hải Sản,6.7,"255 Thoại Ngọc Hầu, P. Phú Thạnh,Quận Tân Phú,TP. HCM",2,https://www.foody.vn/ho-chi-minh/quan-com-68-com-ga-xoi-mo-com-chien-hai-san
Xôi Cô Minh,_._,"Phố Chợ, P. Tân Thạnh,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-co-minh
Ăn Và Nhậu 3 Cô Gái Q. Tân Phú - Cơm Chiên & Mì Xào Giòn - Trịnh Đình Trọng,_._,"49/60 Trịnh Đình Trọng, P. Phú Trung,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/an-va-nhau-3-co-gai-q-tan-phu-com-chien-mi-xao-gion-trinh-dinh-trong.92tviy
