Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Bento Delichi - Cơm Gà Xối Mắm Tỏi & Xối Mỡ - Quận 3,6.8,"117/3 Vườn Chuối, P. 4,Quận 3,TP. HCM",30,https://www.foody.vn/ho-chi-minh/bento-delichi-com-ga-xoi-mam-toi-xoi-mo-quan-3
Gà Bó Xôi A Tẻo,6.9,"107/5B Bành Văn Trân, P. 7,Quận Tân Bình,TP. HCM",48,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-a-teo-cach-mang-thang-8
Xôi Gà Cô Lan,6.6,"14B Kỳ Đồng,Quận 3,TP. HCM",71,https://www.foody.vn/ho-chi-minh/xoi-ga-co-lan
"Gà Delichi - Gà Lên Mâm, Gà Bó Xôi, Gà Mắm Nhĩ",6.2,"117/3 Vườn Chuối, P. 4,Quận 3,TP. HCM",76,https://www.foody.vn/ho-chi-minh/ga-delichi-ga-len-mam-ga-bo-xoi-ga-mam-nhi
Xôi Tám Cẩu,6.0,"Góc Điện Biên Phủ & Cao Thắng (Sau Lưng Cafe Viva),Quận 3,TP. HCM",16,https://www.foody.vn/ho-chi-minh/xoi-tam-cau
Xôi Sườn A Béo,8.1,"009 Lô J Chung Cư Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",18,https://www.foody.vn/ho-chi-minh/xoi-suon-a-beo
Xôi Xéo Lá Sen,7.9,"148A Lý Chính Thắng, P. 7,Quận 3,TP. HCM",10,https://www.foody.vn/ho-chi-minh/xoi-xeo-la-sen
Xôi Gà Truyền Thống 295,8.1,"295 Hai Bà Trưng, P. 8,Quận 3,TP. HCM",14,https://www.foody.vn/ho-chi-minh/xoi-ga-truyen-thong-295
Hệ thống Xôi Chiên - SG,8.0,"2chi nhánh,2",17,https://www.foody.vn/thuong-hieu/xoi-chien-sg?c=ho-chi-minh
Xôi Cậu Bảo,6.3,"239 Nguyễn Thượng Hiền, P. 4,Quận 3,TP. HCM",50,https://www.foody.vn/ho-chi-minh/xoi-cau-bao
Xôi Gà - 132E Cách Mạng Tháng 8,9.0,"132E Cách Mạng Tháng 8, P. 10,Quận 3,TP. HCM",13,https://www.foody.vn/ho-chi-minh/xoi-ga-132e-cach-mang-thang-8
Xôi Bình Tiên - Lý Thái Tổ,6.7,"252 Lý Thái Tổ, P. 1,Quận 3,TP. HCM",12,https://www.foody.vn/ho-chi-minh/xoi-binh-tien-ly-thai-to
Xôi Gà Number One - Trần Quang Diệu,7.9,"136/52A Trần Quang Diệu, P. 14,Quận 3,TP. HCM",16,https://www.foody.vn/ho-chi-minh/xoi-ga-number-one-tran-quang-dieu
Xôi Thịt Nướng Da Gà - Nguyễn Đình Chiểu,6.4,"568 Nguyễn Đình Chiểu,Quận 3,TP. HCM",14,https://www.foody.vn/ho-chi-minh/xoi-thit-nuong-da-ga-nguyen-dinh-chieu
Xôi Ngọt - Cao Thắng,7.5,"Ngã 4 Cao Thắng - Nguyễn Đình Chiểu, P. 5,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-ngot-cao-thang
Ngân - Xôi Thập Cẩm,2.3,"290 Nam Kỳ Khởi Nghĩa, P. 8,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/ngan-xoi-thap-cam-sup-cua-thai-lan-nguyen-canh-chan
Cô Thúy - Xôi Nếp Than,7.7,"209/24 Lê Văn Sỹ, P. 13,Quận 3,TP. HCM",7,https://www.foody.vn/ho-chi-minh/co-thuy-xoi-nep-than
Xôi Gà Tân Định 315 - Trần Quốc Toản,6.1,"17 Trần Quốc Toản, P. Võ Thị Sáu,Quận 3,TP. HCM",43,https://www.foody.vn/ho-chi-minh/xoi-ga-tan-dinh-315-tran-quoc-toan
Nam Việt - Xôi Xéo & Bắp Lá Chuối - Cao Thắng,10.0,"51/110 Cao Thắng, P. 3,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/nam-viet-xoi-xeo-bap-la-chuoi-cao-thang
Xôi & Thịt Nướng Xiên,8.5,"70 Nguyễn Phúc Nguyên, P. 9,Quận 3,TP. HCM",4,https://www.foody.vn/ho-chi-minh/xoi-thit-nuong-xien
Xôi Gà & Bánh Mì Năm Sĩ,8.6,"359 Điện Biên Phủ,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-ga-banh-mi-nam-si
Gái Em - Xôi Nếp Than,9.0,"207/25C Lê Văn Sỹ, P. 13,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/gai-em-xoi-nep-than
Chị Phương - Xôi Sầu Riêng,9.2,"847 Đường 3 Tháng 2, P. 7,Quận 11,TP. HCM",1,https://www.foody.vn/ho-chi-minh/chi-phuong-xoi-sau-rieng
Ý Yên - Xôi Phá Lấu & Xôi Gà,6.0,"381/47 Hoàng Văn Thụ, P. 2,Quận Tân Bình,TP. HCM",1,https://www.foody.vn/ho-chi-minh/y-yen-xoi-pha-lau-xoi-ga
Cô Giàu - Bánh Mì & Xôi Mặn,6.3,"147 Trần Văn Đang, P. 11,Quận 3,TP. HCM",3,https://www.foody.vn/ho-chi-minh/co-giau-banh-mi-xoi-man
Xôi Déo - Kỳ Đồng,7.0,"14/12 Kỳ A4 Kỳ Đồng, P. 9,Quận 3,TP. HCM",4,https://www.foody.vn/ho-chi-minh/xoi-deo-ky-dong
Xôi Chiên - Nguyễn Thiện Thuật,8.8,"242/17 Nguyễn Thiện Thuật, P. 3,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-chien-nguyen-thien-thuat
Yến Xôi - Nguyễn Kiệm,7.0,"371/9 Nguyễn Kiệm, P. 3,Quận Gò Vấp,TP. HCM",1,https://www.foody.vn/ho-chi-minh/yen-xoi-nguyen-kiem
Hương Xôi - Xôi Xá Xíu & Xôi Gà,10.0,"12 Trương Định, P. 6,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/huong-xoi-xoi-xa-xiu-xoi-ga
Xôi Xéo Cô Ba - Nam Kỳ Khởi Nghĩa,8.6,"289 Nam Kỳ Khởi Nghĩa, P. 7,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-xeo-co-ba-nam-ky-khoi-nghia
