Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Xôi Cadé - Trần Phú,6.6,"451 Trần Phú, P. 7,Quận 5,TP. HCM",50,https://www.foody.vn/ho-chi-minh/xoi-cade
Xôi Cay Hai Cô,6.9,"64 Nguyễn Duy Dương, P. 9,Quận 5,TP. HCM",22,https://www.foody.vn/ho-chi-minh/xoi-cay-hai-co
Xôi Mặn 409 Trần Phú - Xôi Nhà Xác,6.4,"Vỉa Hè 409 Trần Phú, P. 7,Quận 5,TP. HCM",128,https://www.foody.vn/ho-chi-minh/xoi-409-tran-phu
Xôi & Bánh Mì Cột Điện,8.2,"453 Trần Phú, P. 7,Quận 5,TP. HCM",4,https://www.foody.vn/ho-chi-minh/xoi-banh-mi-cot-dien
Chè Ba Màu - Xôi Xiêm,6.8,"157 Dương Tử Giang,Quận 5,TP. HCM",11,https://www.foody.vn/ho-chi-minh/che-ba-mau-xoi-xiem
Xôi Hàng Gà,6.5,"155 Trần Hưng Đạo, P.10,Quận 5,TP. HCM",91,https://www.foody.vn/ho-chi-minh/xoi-hang-ga
Xôi Bò - Bạch Vân,8.3,"Hẻm 78 Bạch Vân, P. 5,Quận 5,TP. HCM",6,https://www.foody.vn/ho-chi-minh/xoi-bo-bach-van
Xôi Xéo Hà Nội,7.1,"63/38 Nguyễn Biểu, P. 1,Quận 5,TP. HCM",27,https://www.foody.vn/ho-chi-minh/xoi-xeo-ha-noi
Xôi Lá Chuối - Trần Hưng Đạo,7.0,"900 Trần Hưng Đạo, P. 7,Quận 5,TP. HCM",83,https://www.foody.vn/ho-chi-minh/xoi-la-chuoi-cao-thang
Xôi Bát Bửu & Xôi Sầu Riêng - An Dương Vương,6.5,"447 An Dương Vương, P. 3,Quận 5,TP. HCM",24,https://www.foody.vn/ho-chi-minh/xoi-bat-buu-xoi-sau-rieng-an-duong-vuong
Xôi Cô Quỳnh,9.6,"639 Nguyễn Trãi, P. 11,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-co-quynh
Coco Thai - Kem Xôi Dừa,8.1,"657 Trần Hưng Đạo, P. 1,Quận 5,TP. HCM",10,https://www.foody.vn/ho-chi-minh/coco-thai-kem-xoi-dua
Xôi Cầu Đỏ,7.4,"43 Trần Quý Cáp, P. 11,Quận Bình Thạnh,TP. HCM",14,https://www.foody.vn/ho-chi-minh/xoi-cau-do
Xôi Sáng,8.8,"276 Trần Hưng Đạo, P. 11,Quận 5,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-sang
Xôi Gà Xá Xíu 177,7.4,"177 Bùi Hữu Nghĩa,Quận 5,TP. HCM",5,https://www.foody.vn/ho-chi-minh/xoi-ga-xa-xiu-177
Xôi Gà Xá Xíu - Bùi Hữu Nghĩa,6.9,"177 Bùi Hữu Nghĩa, P. 7,Quận 5,TP. HCM",6,https://www.foody.vn/ho-chi-minh/xoi-ga-xa-xiu-bui-huu-nghia
Xôi Mặn - Nguyễn Trãi,7.0,"159 Nguyễn Trãi, P. 2,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-man-nguyen-trai
Xôi Cadé Ông Già Chính Gốc  咖椰糯米饭 - Phan Phú Tiên,9.2,"28 Phan Phú Tiên, P. 10,Quận 5,TP. HCM",7,https://www.foody.vn/ho-chi-minh/xoi-cade-ong-gia-chinh-goc-%E5%92%96%E6%A4%B0%E7%B3%AF%E7%B1%B3%E9%A5%AD-phan-phu-tien.gp0roi
Xôi Bà Già - Nguyễn Trãi,7.2,"Nguyễn Trãi, P. 11,Quận 5,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-ba-gia-nguyen-trai
Bánh Mì & Xôi Mặn - Thuận Kiều,7.0,"30 Thuận Kiều,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/banh-mi-xoi-man-thuan-kieu
Xôi Xá Xíu Đêm - Phan Đình Phùng,10.0,"56 Phan Đình Phùng, P. 2,Quận Phú Nhuận,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-xa-xiu-dem-phan-dinh-phung
Cô Hoa - Bánh Mì Thịt & Xôi Mặn,2.6,"109 Nguyễn Biểu,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/co-hoa-banh-mi-thit-xoi-man
Bánh Mì Thịt & Xôi Mặn,6.2,"153 Nguyễn Chí Thanh, P. 9,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/banh-mi-thit-xoi-man
Phố Lồng Đèn - Bò Né Nui Xào & Xôi Bò Trùm Mền,6.7,"15 Nguyễn Án,Quận 5,TP. HCM",15,https://www.foody.vn/ho-chi-minh/tropical-cafe-nguyen-an
Bánh Mì & Xôi - Nguyễn Trãi,_._,"696 Nguyễn Trãi, P. 11,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-mi-xoi-nguyen-trai
Xôi Ngọt,_._,"9 Lý Thường Kiệt, P. 12,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ngot-ly-thuong-kiet
Bánh Mì 338 - Bánh Mì & Xôi Mặn,_._,"338 An Dương Vương, P. 4,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-mi-338-banh-mi-xoi-man
Xe Xôi Thanh Vy,_._,"Trần Xuân Hoà, P. 7,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xe-xoi-thanh-vy
567 - Bánh Mì & Xôi Mặn,_._,"567 Nguyễn Trãi, P. 7,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/567-banh-mi-xoi-man
A Kín - Há Cảo & Xôi Mặn,_._,"192/163B Nguyễn Trãi, P. 3,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/a-kin-ha-cao-xoi-man
Đạt Chef - Xôi Tôm Càng Trứng Muối - Nguyễn Biểu,_._,"251 Nguyễn Biểu, P. 2,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/dat-chef-xoi-tom-cang-trung-muoi-nguyen-bieu
Cơm Gà Xối Mỡ Thanh,7.2,"214/1 Nguyễn Trãi, P. 3,Quận 5,TP. HCM",16,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-thanh
Hoàng Ký - Cơm Gà Xối Mỡ - Huỳnh Mẫn Đạt,6.2,"94 Huỳnh Mẫn Đạt, P. 2,Quận 5,TP. HCM",22,https://www.foody.vn/ho-chi-minh/hoang-ky-com-ga-xoi-mo
Cơm Gà Xối Mỡ 37,9.6,"37 Ngô Quyền,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-37
Tapi - Cơm Gà Xối Mỡ,4.6,"217A Nguyễn Văn Cừ, P. 4,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/tapi-com-ga-xoi-mo
Mi Min Food - Xôi Xéo,_._,"150/11 Trần Tuấn Khải, P. 5,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/mi-min-food-xoi-xeo
Gà Bó Xôi Ngon - Siêu Phẩm Hoàng Gia,_._,"Tầng 1, 135 Nguyễn Chí Thanh, P. 9,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-ngon-sieu-pham-hoang-gia
Cơm Gà Vịt Xối Mỡ Dách Lòu - Nguyễn Kim,10.0,"33 Nguyễn Kim, P. 12,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-vit-xoi-mo-dach-lou-nguyen-kim
Lão Hương Thân - Cơm Gà Xối Mỡ,5.3,"402 Trần Phú, P. 7,Quận 5,TP. HCM",67,https://www.foody.vn/ho-chi-minh/lao-huong-than-com-ga-xoi-mo
Xôi Hạnh,_._,"560 Cộng Hòa, P. 13,Quận Tân Bình,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-hanh
Xôi Gà 166 - Nguyễn Biểu,_._,"166 Nguyễn Biểu, P. 2,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-166-nguyen-bieu
Xôi Củ Khoai - Shop Online,_._,"Tầng 1, 58 Trần Hưng Đạo, P. 7,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-cu-khoai-shop-online
Bà Bé - Xôi Vịt Chiên,_._,"2A Tản Đà, P. 10,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ba-be-xoi-vit-chien
Hiền Ký - Cơm Gà Xối Mỡ,6.5,"90 Huỳnh Mẫn Đạt,Quận 5,TP. HCM",4,https://www.foody.vn/ho-chi-minh/hien-ky-com-ga-xoi-mo
Cơm Gà Xối Mỡ - Hải Thượng Lãn Ông,6.9,"196 Hải Thượng Lãn Ông,Quận 5,TP. HCM",11,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-hai-thuong-lan-ong
Hia - Xôi & Bánh Giò,_._,"12 Bình Chiểu, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hia-xoi-banh-gio
Ngân Sài Gòn - Xôi Gà,_._,"107 Nguyễn Thái Bình P. Nguyễn Thái Bình,Quận 1,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ngan-sai-gon-xoi-ga
Tài Ký - Cơm Gà Xối Mỡ,8.9,"6 Gò Công,Quận 5,TP. HCM",2,https://www.foody.vn/ho-chi-minh/tai-ky-com-ga-xoi-mo
Siu Nhơn - Cơm Gà Xối Mỡ,7.8,"21 Phan Văn Khỏe, P. 13,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/siu-nhon-com-ga-xoi-mo
3 Ngáo - Xôi & Vịt Nướng,_._,"1071 Huỳnh Tấn Phát, P. Phú Thuận,Quận 7,TP. HCM",0,https://www.foody.vn/ho-chi-minh/3-ngao-xoi-vit-nuong
Ngân Sài Gòn - Xôi Gà,_._,"107 Nguyễn Thái Bình P. Nguyễn Thái Bình,Quận 1,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ngan-sai-gon-xoi-ga
Cô Bích - Bánh Mì & Xôi Mặn,_._,"683 Trần Hưng Đạo,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-bich-banh-mi-xoi-man
Gà Bó Xôi Family - Nguyễn Quý Anh,_._,"56/6 Nguyễn Quý Anh, P. Tân Sơn Nhì,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-family-nguyen-quy-anh
Xôi Mặn Bà Mén,_._,"105 Trần Hưng Đạo, P. 6,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-man-ba-men
"Xôi Yum - Xôi, Mì & Nước Sâm",_._,"1068/6 Võ Văn Kiệt, P. 6,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-yum-xoi-mi-nuoc-sam
Xôi Hoa Giấy - Xôi Gấc Mặn - 71 Trần Bình Trọng,_._,"71 Trần Bình Trọng, P. 1,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-hoa-giay-xoi-gac-man-71-tran-binh-trong.wkrkbs
Pin Mập - Gà Nướng & Xôi Chiên Phồng,_._,"63 Nguyễn Tri Phương, P. 6,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/pin-map-ga-nuong-xoi-chien-phong
Xôi Xoài Thái Lan - Shop Online,_._,"204/13D Cao Đạt, P. 1,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-xoai-thai-lan-shop-online
A Lủ - Cơm Gà Xối Mỡ & Mì Xào,7.8,"33 Nguyễn Chí Thanh,Quận 5,TP. HCM",4,https://www.foody.vn/ho-chi-minh/a-lu-com-ga-xoi-mo-mi-xao
Út Nga - Xôi & Bánh Mì - Lê Hồng Phong,_._,"Chung Cư Phan Văn Trị Lê Hồng Phong, P. 2,Quận 5,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ut-nga-xoi-banh-mi-le-hong-phong.dln0im
