Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Vịt Quay Mỹ Phụng,6.7,"169 Gia Phú, P. 1,Quận 6,TP. HCM",11,https://www.foody.vn/ho-chi-minh/vit-quay-my-phung
Minh Ký - Mì Vịt Tiềm,8.9,"12 Vành Đai, P. 10,Quận 6,TP. HCM",7,https://www.foody.vn/ho-chi-minh/minh-ky-mi-vit-tiem
Thu Diễm - Cháo Vịt & Bún Măng Vịt,8.5,"654 Phạm Văn Chí, P. 8,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/thu-diem-chao-vit-bun-mang-vit
Bánh Canh Cua Mề Vịt,7.5,"240 Minh Phụng, P. 6,Quận 6,TP. HCM",4,https://www.foody.vn/ho-chi-minh/banh-canh-cua-me-vit
Cô Trầm - Bún Măng Vịt,1.4,"259 Nguyễn Văn Luông, P. 11,Quận 6,TP. HCM",4,https://www.foody.vn/ho-chi-minh/co-tram-bun-mang-vit
Đắc Hòa - Heo Quay & Vịt Quay,7.1,"46 Bà Hom, P. 13,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/dac-hoa-heo-quay-vit-quay
"Cẩm Hưng - Cơm Gà, Vịt Quay & Xá Xíu",7.6,"25A Hậu Giang, P. 2,Quận 6,TP. HCM",8,https://www.foody.vn/ho-chi-minh/cam-hung-com-ga-vit-quay-xa-xiu
"Huỳnh Gia - Bánh Mì, Vịt Quay & Heo Quay - Lê Quang Sung",7.9,"169 - 171 - 173 Lê Quang Sung, P. 6,Quận 6,TP. HCM",24,https://www.foody.vn/ho-chi-minh/banh-mi-huynh-ky-le-quang-sung
Cháo Gỏi Vịt - Kinh Dương Vương,7.1,"223 Kinh Dương Vương,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/chao-goi-vit-kinh-duong-vuong
Mì Vịt Tiềm Lê Gia,6.7,"30 - 32 Chợ Lớn, P. 11,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/mi-vit-tiem-le-gia
Ý Vịt Quán - Món Ngon Vịt Cỏ 68 Món - Nguyễn Duy Trinh,_._,"892 Nguyễn Duy Trinh, P. Bình Trưng Đông,Quận 2,TP. HCM",0,https://www.foody.vn/ho-chi-minh/y-vit-quan-mon-ngon-vit-co-68-mon-nguyen-duy-trinh
Bún Cà Ri Gà & Vịt - Văn Thân,8.2,"69A Văn Thân, P. 8,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/bun-ca-ri-ga-vit-van-than
Phá Lấu Vịt Ông Tuấn,8.9,"393 An Dương Vương, P. 10,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/pha-lau-vit-ong-tuan
Cơm Gà & Cari Vịt Xiêm - Hậu Giang,1.0,"622 Hậu Giang, P. 11,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-cari-vit-xiem-hau-giang
Cháo Vịt & Gỏi Vịt - Lê Quang Sung,_._,"356B Lê Quang Sung, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-vit-goi-vit-le-quang-sung
"Bún Măng Vịt, Miến Gà Ta & Cháo Gỏi Vịt",_._,"176 Hậu Giang,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-vit-mien-ga-ta-chao-goi-vit
Quán Cháo & Gỏi Vịt 279,_._,"279 Phạm Văn Chí,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-chao-goi-vit-279
Cô Bảy - Vịt Xiêm Quán - Lẩu & Bún Măng Xiêm,_._,"36 Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-bay-vit-xiem-quan-lau-bun-mang-xiem
Quán Nga - Cháo Gà & Cháo Vịt,_._,"869 Hậu Giang,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-nga-chao-ga-chao-vit
"Danh Đắc Hòa - Lò Bánh Mì, Vịt Quay & Heo Quay",_._,"95 Tân Hoà Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/danh-dac-hoa-lo-banh-mi-vit-quay-heo-quay
Vịt Quay Nhựt Ký,_._,"16A Hậu Giang, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-quay-nhut-ky
Hủ Tiếu Nam Vang & Mì Vịt Tiềm - Phan Văn Khoẻ,_._,"372B6 - 372B2 Phan Văn Khoẻ, P. 5,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hu-tieu-nam-vang-mi-vit-tiem-phan-van-khoe
Việt Dung - Gà Nướng & Vịt Nướng,_._,"55 Nguyễn Văn Luông, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/viet-dung-ga-nuong-vit-nuong
Cháo Trắng Hột Vịt Muối,_._,"31 Đường Số 26,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-trang-hot-vit-muoi
Mỳ Vịt Tiềm - Minh Phụng,_._,"178A Minh Phụng, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/my-vit-tiem-minh-phung
Vịt Gà Nướng Lá Mắc Mật,_._,"96 Tân Hoà Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-ga-nuong-la-mac-mat
Gà Ác Tiềm & Hột Vịt Lộn,_._,"E12 Cư Xá Phú Lâm B,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-ac-tiem-hot-vit-lon
Quán 93 - Mì Vịt Tiềm,_._,"178A Minh Phụng, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-93-mi-vit-tiem
"Quán Yến Cà Mau - Lẩu Gà, Lẩu Vịt & Bún Bò",_._,"81 Đường Số 61, P. Phước Long B,Quận 9,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-yen-ca-mau-lau-ga-lau-vit-bun-bo
Cháo Vịt & Gỏi Vịt - Tân Hòa Đông,_._,"105 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-vit-goi-vit-tan-hoa-dong
Nhậu Không Say - Món Vịt - Đường Số 64,_._,"62 Đường Số 64, P. Thạnh Mỹ Lợi,Quận 2,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nhau-khong-say-mon-vit-duong-so-64
Mì Vịt Tiềm Gia Phát - Xóm Đất,_._,"62A Xóm Đất, P. 8,Quận 11,TP. HCM",0,https://www.foody.vn/ho-chi-minh/mi-vit-tiem-gia-phat-xom-dat
"Quán 69 - Gỏi, Bún & Miến Vịt",_._,"203 Nguyễn Thị Đặng, P. Tân Thới Hiệp,Quận 12,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-69-goi-bun-mien-vit
Cháo & Gỏi Vịt - An Dương Vương,_._,"348 An Dương Vương, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-goi-vit-an-duong-vuong
Bún Măng Vịt - Bà Hom,_._,"Bà Hom, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-vit-ba-hom
Bún Măng Vịt - Tân Hòa Đông,_._,"205/17 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-vit-tan-hoa-dong
Vịt Lộn Chiên - Hồng Bàng,_._,"633/28 Hồng Bàng, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-lon-chien-hong-bang
"Quầy Chị Em - Xá Xíu, Heo Quay & Vịt Quay",_._,"40 Phạm Đình Hổ, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quay-chi-em-xa-xiu-heo-quay-vit-quay
Vĩnh Long Quán - Lẩu Vịt Xiêm Nấu Chao,_._,"171 Đường Số 6, P. An Lạc A,Quận Bình Tân,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vinh-long-quan-lau-vit-xiem-nau-chao
Vịt Đồng Cô Tư,_._,"26 Đường Số 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-dong-co-tu
Quầy Chị Em - Heo Quay & Vịt Quay,_._,"98 Cao Văn Lầu,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quay-chi-em-heo-quay-vit-quay
Cô Mẫn - Bún & Miến Vịt,_._,"106A Bến Bãi Sậy,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-man-bun-mien-vit
"Kiệt Như Nhi - Heo, Gà & Vịt Quay",_._,"160 Phạm Phú Thứ, P. 4,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/kiet-nhu-nhi-heo-ga-vit-quay
Vịt Đồng Như Yến,_._,"5 Văn Thân, P. 8,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-dong-nhu-yen
Bún Măng & Gỏi Vịt,_._,"121 Đường Số 6, P. Bình Trị Đông B,Quận Bình Tân,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-goi-vit
Gà Nướng & Vịt Nướng Lá Mắc Mật - Bà Hom,_._,"258 Bà Hom, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-nuong-vit-nuong-la-mac-mat-ba-hom
Phương Duyên - Bánh Canh Bột Xắt & Cháo Vịt,_._,"E36 Cư Xá Phú Lâm B, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phuong-duyen-banh-canh-bot-xat-chao-vit
Bình An Quán - Cháo Gà & Vịt,_._,"38C Đường Số 61, P. Phước Long B,Quận 9,TP. HCM",0,https://www.foody.vn/ho-chi-minh/binh-an-quan-chao-ga-vit
Bún Măng Vịt & Gỏi Vịt - Hậu Giang,_._,"561B Hậu Giang, P. 11,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-vit-goi-vit-hau-giang
Vịt Luộc Thanh Tuyền,_._,"686/91 Cách Mạng Tháng 8, P. 5,Quận Tân Bình,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-luoc-thanh-tuyen
Gia Phú - Vịt & Gà Nướng Lu,_._,"205MN Gia Phú,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/gia-phu-vit-ga-nuong-lu
Vịt & Gà Ta Nướng - Nguyễn Văn Luông,_._,"53 Nguyễn Văn Luông, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-ga-ta-nuong-nguyen-van-luong
Duy Tân - Vịt Cỏ Tươi Sạch Gia Truyền,_._,"64/6A Nguyễn Thị Đặng, P. Tân Thới Hiệp,Quận 12,TP. HCM",0,https://www.foody.vn/ho-chi-minh/duy-tan-vit-co-tuoi-sach-gia-truyen
Bún Vịt & Hủ Tíu Bò Kho - Đường 3 Tháng 2,_._,"606/138 Đường 3 Tháng 2, P. 14,Quận 10,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-vit-hu-tiu-bo-kho-duong-3-thang-2
Amis - Cơm Vịt Thưng & Bánh Canh Tôm Riêu Cua Chả Cá,_._,"283/43 Phạm Ngũ Lão, P. Phạm Ngũ Lão,Quận 1,TP. HCM",0,https://www.foody.vn/ho-chi-minh/amis-com-vit-thung-banh-canh-tom-rieu-cua-cha-ca
Vịt Quay Malaysia Dũng Ký,_._,"258 Bình Tiên, P. 4,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/dung-ky-vit-quay-malaysia
Cơm Tấm Vịt 68,_._,"272 Hoàng Ngân, P. 16,Quận 8,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-tam-vit-68
Thảo Linh - Gà Ta & Vịt Đồng,_._,"77 Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thao-linh-ga-ta-vit-dong
Vịt Gò Công - Đặng Nguyên Cẩn,_._,"335 Đặng Nguyên Cẩn, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-go-cong-dang-nguyen-can
Vịt Quay Mắc Mật Trường Phát,_._,"64 Đường Số 11, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-quay-mac-mat-truong-phat
Vịt Lộn Xuân Lan Bình Phú - Lý Chiêu Hoàng,_._,"Lô G, Cư Xá Phú Lâm D, 63 Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-lon-xuan-lan-binh-phu-ly-chieu-hoang
Cửa hàng vịt heo quay Phúc Đạt - Bà Hom,_._,"260 Bà Hom, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/cua-hang-vit-heo-quay-phuc-dat-ba-hom
Minh Thư - Gà Vịt & Cá Lóc Nướng - Bà Hom,_._,"258 Bà Hom, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/minh-thu-ga-vit-ca-loc-nuong-ba-hom
Cô Oanh - Phá Lấu Vịt - Đặng Nguyên Cẩn,_._,"221 Đặng Nguyên Cẩn, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-oanh-pha-lau-vit-dang-nguyen-can.0rlf40
Bà Sáu Siêu Ngon - Lẩu Vịt Nấu Chao,_._,"35Q Cư Xá Phú Lâm D, P 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ba-sau-sieu-ngon-lau-vit-nau-chao
Gà Ta Bảo Chung - Cháo Gỏi Gà & Mì Vịt Tiềm,_._,"D26 Cư Xá Phú Lâm B, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-ta-bao-chung-chao-goi-ga-mi-vit-tiem
Thịnh Râu Foods - Gà Vịt Món Ăn Từ Vịt - F41 Cư Xá Phú Lâm B,_._,"F41 Cư Xá Phú Lâm B, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thinh-rau-foods-ga-vit-mon-an-tu-vit-f41-cu-xa-phu-lam-b.uhuuh0
Ăn Vặt Nhà Vịt - Trà Sữa & Bánh Paparoti - 575 Hồng Bàng,_._,"575 Hồng Bàng, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/an-vat-nha-vit-tra-sua-banh-paparoti-575-hong-bang.focyft
Mỹ Linh - Bún Riêu Cua Đồng & Bún Măng Vịt - Đường 41,_._,"25 Đường 41, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/my-linh-bun-rieu-cua-dong-bun-mang-vit-duong-41.pfexng
Cô Chang - Món Ngon Bình Định,7.6,"6 Đường Số 7, P. Linh Trung,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/co-chang-mon-ngon-binh-dinh
Gà Quay Duy Luân,7.2,"282 Bà Hom,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/ga-quay-duy-luan
Khô 195 - Khô Cá Đường & Khô Mực - Nguyễn Văn Luông,5.0,"195 Nguyễn Văn Luông, P. 11,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/kho-195-kho-ca-duong-kho-muc-nguyen-van-luong.7wajd7
Ngọc Liên Châu - Bánh Bao Tươi - Hậu Giang,6.5,"1076 Hậu Giang, P. 12,Quận 6,TP. HCM",6,https://www.foody.vn/ho-chi-minh/ngoc-lien-chau-banh-bao-tuoi-hau-giang
Quán Ốc Ba Đô,7.6,"80 Đường Số 23,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quan-oc-ba-do
Cơm Gà Hương Dinh,7.6,"16 Hậu Giang, P. 2,Quận 6,TP. HCM",6,https://www.foody.vn/ho-chi-minh/huong-dinh
Minh Thành - Cơm Gà & Cháo Ếch,6.7,"51 Hậu Giang, P. 2,Quận 6,TP. HCM",14,https://www.foody.vn/ho-chi-minh/minh-thanh-com-ga-chao-ech
Ốc 219C,6.1,"219C Lê Quang Sung, P. 6,Quận 6,TP. HCM",57,https://www.foody.vn/ho-chi-minh/oc-219c
Lẩu Cây Bàng,6.1,"27 - 29 Đường 10, Cư Xá Đài Rada, P. 13,Quận 6,TP. HCM",5,https://www.foody.vn/ho-chi-minh/lau-cay-bang
Quán Chay Thảo,5.8,"30/11 Nguyễn Đình Chi, P. 9,Quận 6,TP. HCM",19,https://www.foody.vn/ho-chi-minh/quan-chay-thao
Cơm Tấm Hoàng Gia,7.6,"57 Bửu Đình,Quận 6,TP. HCM",5,https://www.foody.vn/ho-chi-minh/com-tam-hoang-gia
Ốc 235A,6.9,"235A Mai Xuân Thưởng, P. 6,Quận 6,TP. HCM",40,https://www.foody.vn/ho-chi-minh/oc-235a
Phá Lấu Heo Bình Tiên,5.6,"261 Bãi Sậy, P. 8,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/pha-lau-heo-binh-tien
Pín Bò Hoàng Mỹ - Quán Nhậu Bình Dân,1.0,"146A Hậu Giang, P. 6,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/pin-bo-hoang-my-quan-nhau-binh-dan
Chi Dao Bao - Dimsum,8.1,"97 - 99 Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",22,https://www.foody.vn/ho-chi-minh/chi-dao-bao-dimsum
Cơm Tấm Thanh Trúc,7.3,"302 Gia Phú, P. 3,Quận 6,TP. HCM",20,https://www.foody.vn/ho-chi-minh/com-tam-thanh-truc
Cháo Trắng Chị Hà,_._,"125A Bến Bãi Sậy,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-trang-chi-ha
Quán Cơm 63,_._,"63 Phạm Phú Thứ, P. 3,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-com-63
"Bánh Canh, Bún Mắm & Bún Riêu",_._,"181 Văn Thân, P. 8,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-canh-bun-mam-bun-rieu
Hủ Tiếu Bình Dân - Lò Gốm,_._,"1 Lô E, Cư Xá Phạm Văn Chí, Lò Gốm, P. 8,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hu-tieu-binh-dan-lo-gom
Cơm Bình Dân 723,_._,"723 Hồng Bàng, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-binh-dan-723
Quán Cơm Quê Hương - Đường Số 10,_._,"58 Đường Số 10, Cư Xá Ra Đa, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-com-que-huong-duong-so-10
Quán Cơm Tấm 136B,5.3,"136B Hậu Giang,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/quan-com-tam-136b
Cơm Tấm Anh Đào,_._,"66 Đường Số 11,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-tam-anh-dao
