Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Xôi Gà Chị Thảo - Phạm Phú Thứ,_._,"95 Phạm Phú Thứ, P. 3,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-chi-thao-pham-phu-thu
Cơm Gà Xối Mỡ 117,7.2,"117 Bình Tây, P. 1,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-117
Quán Huỳnh Ký - Cơm Gà Xối Mỡ & Hủ Tiếu Xào,5.2,"274 Gia Phú,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/quan-huynh-ky-com-ga-xoi-mo-hu-tieu-xao
Cơm Gà Xối Bơ Cô Út - Hậu Giang,4.7,"474/22A Hậu Giang, P. 12,Quận 6,TP. HCM",6,https://www.foody.vn/ho-chi-minh/com-ga-xoi-bo-co-ut-hau-giang
Xôi 239 - Bà Hom,_._,"239 Bà Hom, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-239-ba-hom
Xôi Chiên Ông Cận,_._,"10 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-chien-ong-can
Cơm Gà Xối Mỡ - 146 Tân Hòa Đông,9.0,"146 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-146-tan-hoa-dong
"Quán 027 - Cơm Gà Xối Mỡ, Mì Xào Giòn & Mực Chiên Giòn",7.4,"209 Nguyễn Văn Luông, P. 11,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quan-027-com-ga-xoi-mo-mi-xao-gion-muc-chien-gion
"Bánh Bao, Xôi Mặn & Bánh Mì Hà Nội - Bà Hom",_._,"258 Bà Hom, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-bao-xoi-man-banh-mi-ha-noi-ba-hom
Xôi Lá Chuối - Tân Hòa Đông,_._,"53 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-la-chuoi-tan-hoa-dong
A Đạt - Cơm Gà Xối Mỡ,5.0,"97/12 Kinh Dương Vương, P. 12,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/a-dat-com-ga-xoi-mo
Cơm Gà Xối Mỡ - Bãi Sậy,7.7,"261 Bãi Sậy, P. 8,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-bai-say
Chị Lan - Cơm Gà Xối Mỡ,6.8,"554 Lê Quang Sung,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/chi-lan-com-ga-xoi-mo
Cơm Gà Xối Mỡ - Lý Chiêu Hoàng,10.0,"42 Lô A, Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-ly-chieu-hoang
Cơm Gà Xối Mỡ Thạch Lam - Hậu Giang,3.2,"1044 Hậu Giang, P. 12,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-thach-lam-hau-giang
Cơm Chiên Gà Xối Mỡ - Cư Xá Phú Lâm B,7.2,"E56Bis Cư Xá Phú Lâm B, P. 13,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-chien-ga-xoi-mo-cu-xa-phu-lam-b
Gánh Xôi Nghệ Sỹ - Minh Phụng,_._,"98 Minh Phụng, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ganh-xoi-nghe-sy-minh-phung
Gánh Xôi Nghệ Sỹ - Minh Phụng,_._,"98 Minh Phụng, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ganh-xoi-nghe-sy-minh-phung
Quán Xôi Lá Chuối & Bánh Mì - Minh Phụng,_._,"90 Minh Phụng, P. 5,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-xoi-la-chuoi-banh-mi-minh-phung
Chè Chén - Saffron Chè & Xôi Xoài,_._,"285 Hậu Giang, P. 5,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/che-chen-saffron-che-xoi-xoai
Quốc Thiên - Bánh Mì & Xôi Mặn - Phạm Phú Thứ,_._,"68 Phạm Phú Thứ, P. 03,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quoc-thien-banh-mi-xoi-man-pham-phu-thu
Xôi Gà Lá Chuối Tú Anh - Bình Phú,_._,"109 Bình Phú, P. 11,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-la-chuoi-tu-anh-binh-phu
Hùng Ký - Cơm Gà Xối Mỡ - Tân Hòa Đông,_._,"31B Tân Hòa Đông, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hung-ky-com-ga-xoi-mo-tan-hoa-dong
Lý Gia - Cơm Gà Xối Mỡ,_._,"143 Văn Thân, P. 8,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ly-gia-com-ga-xoi-mo
Cơm Gà Xối Mỡ - Lê Quang Sung,_._,"12 Lê Quang Sung, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-le-quang-sung
Cơm Gà Xối Mỡ Huệ Bình - Bình Phú,5.8,"126 Bình Phú, P. 10,Quận 6,TP. HCM",9,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-hue-binh-binh-phu
Gia Khang - Cơm Gà Xối Mỡ,_._,"Chung Cư 78, Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/gia-khang-com-ga-xoi-mo
Xôi Gà Anh Minh,_._,"7 Lê Quang Sung, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-anh-minh
2 Chú Mập - Cơm Gà Xối Mỡ,8.2,"602 Phạm Văn Chí, P. 8,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/2-chu-map-com-ga-xoi-mo
"Thơm Phức Quán - Xôi, Cơm Chiên & Bánh Mì - Shop Online",_._,"602/104/13 Điện Biên Phủ, P. 22,Quận Bình Thạnh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thom-phuc-quan-xoi-com-chien-banh-mi-shop-online
Cơm Gà Xối Mỡ Mũi Tàu,_._,"1054C Hậu Giang, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-mui-tau
Huệ Bình - Cơm Gà Xối Mỡ,_._,"114L Bình Phú, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hue-binh-com-ga-xoi-mo
Cơm Gà Xối Mỡ Minh Ký - Cư Xá Phú Lâm B,_._,"D7-D8 Cư Xá Phú Lâm B, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-minh-ky-cu-xa-phu-lam-b
Anh Hoàng - Cơm Gà Xối Mỡ,_._,"207 Cao Văn Lầu,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/anh-hoang-com-ga-xoi-mo
Cơm Gà Xối Mỡ - Chung Cư 78,_._,"004 Chung Cư 78, Tân Hòa Đông,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-chung-cu-78
Long Ký - Cơm Gà Xối Mỡ,_._,"17 Đường Số 60, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/long-ky-com-ga-xoi-mo
Cơm Gà Xối Mỡ 209,_._,"209 Nguyễn Văn Luông,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-209
Cơm Gà Xối Mỡ - Hậu Giang,_._,"31 Hậu Giang, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-hau-giang
Thanh Trúc - Cơm Gà Xối Mỡ,_._,"552 Lê Quang Sung, P. 9,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thanh-truc-com-ga-xoi-mo
Quán Cơm Hiếu Kỳ - Cơm Gà Xối Mỡ,_._,"270 Nguyễn Văn Luông, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-com-hieu-ky-com-ga-xoi-mo
Quán Ăn Thuận Ký - Cơm Gà Xối Mỡ,_._,"444 Phạm Văn Chí, P. 8,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-thuan-ky-com-ga-xoi-mo
Cơm Gà Xối Mỡ 151,_._,"560B Hậu Giang, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-151
Subin - Cơm Gà Xối Mỡ,_._,"251B  Phan Văn Khỏe, P. 5,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/subin-com-ga-xoi-mo
Tài Linh 2 - Cơm Gà Xối Mỡ,_._,"1011 Hậu Giang, P. 11,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/tai-linh-2-com-ga-xoi-mo
Thành Ký - Cơm Gà Xối Mỡ,_._,"307/3 Phạm Văn Khỏe, P. 5,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thanh-ky-com-ga-xoi-mo
Quán 425 - Cơm Gà Xối Mỡ,_._,"425 Gia Phú, P. 3,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-425-com-ga-xoi-mo
Thiên Phúc - Cơm Gà Xối Mỡ,_._,"346B Phan Văn Khỏe, P. 5,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thien-phuc-com-ga-xoi-mo
Cơm Gà Xối Mỡ - Chung Cư Nguyễn Văn Luông,_._,"336/43E Nguyễn Văn Luông, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-chung-cu-nguyen-van-luong
Thòn Ký - Cơm Gà Xối Mỡ - Ăm Thực Trung Hoa,_._,"474/22A Hậu Giang, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/thon-ky-com-ga-xoi-mo-am-thuc-trung-hoa
Cơm Gà Xối Mỡ Tân Râu - Lê Quang Sung,_._,"12-16 Lê Quang Sung, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-tan-rau-le-quang-sung
Cơm Gà Xối Mớ 211 - Tân Hòa Đông,_._,"211 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-211-tan-hoa-dong
Hồng Huệ - Cơm Tấm & Cơm Gà Xối Mỡ,_._,"434 An Dương Vương, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hong-hue-com-tam-com-ga-xoi-mo
Bento Delivery - Cơm Gà Xối Mỡ Chính Thống Sốt Mắm Tỏi - Đường Số 8,_._,"46 Đường Số 8, P. 11,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bento-delivery-com-ga-xoi-mo-chinh-thong-sot-mam-toi-duong-so-8.nwjo6m
Cơm Hoa Thị - Cơm Chiên Gà Xối Mỡ & Cơm Tấm Sườn Mỡ Nướng,_._,"239 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-hoa-thi-com-chien-ga-xoi-mo-com-tam-suon-mo-nuong
Ngọc Ánh - Bánh Mì Hà Nội - 69 Huỳnh Văn Bánh,_._,"69 Huỳnh Văn Bánh, P. 17,Quận Phú Nhuận,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ngoc-anh-banh-mi-ha-noi-69-huynh-van-banh
Cơm Gà Xối Mỡ - Tùng Ký 3,_._,"522 An Dương Vương, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-tung-ky-3
Cơm Gà Xối Mỡ 348 - An Dương Vương,_._,"348 An Dương Vương, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-348-an-duong-vuong
Nhã Quyên - Bún Bò & Cơm Gà xối Mỡ,_._,"710/53 Hậu Giang, P. 12,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nha-quyen-bun-bo-com-ga-xoi-mo
Quán A Ngon - Cơm Gà Xối Mỡ  - Nguyễn Văn Luông,_._,"191 Nguyễn Văn Luông, P. 11,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-a-ngon-com-ga-xoi-mo-nguyen-van-luong.u5udy2
Cậu Ba - Cơm Gà Xối Mỡ - Đường Số 30,_._,"30 Đường Số 30, P. 9,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/cau-ba-com-ga-xoi-mo-duong-so-30.6drhzf
Aro Coffee - Cà Phê & Điểm Tâm - Cư Xá Phú Lâm D,_._,"83F Đường Cư Xá Phú Lâm D, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/aro-coffee-ca-phe-diem-tam-cu-xa-phu-lam-d
FoodFest - Phi Phi Quán - Cơm Gà Xối Mỡ - NowFood x Coca,_._,"161/7 Phạm Văn Chí, P. 3,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/foodfest-phi-phi-quan-com-ga-xoi-mo-nowfood-x-coca
Trà Sữa Teaball & Kem Dừa Siam,6.3,"489A/7 Hậu Giang, P. 11,Quận 6,TP. HCM",4,https://www.foody.vn/ho-chi-minh/tra-sua-teaball-kem-dua-siam
Tiệm Bếp Nhà Hubi - Bình Phú,_._,"27P Bình Phú, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/tiem-bep-nha-hubi-binh-phu
PHƯỢNG HẰNG ( Hai Chị Em ) - Bánh Mì & Bánh Bao - Phạm Văn Chí,_._,"535B Phạm Văn Chí, P. 7,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phuong-hang-hai-chi-em-banh-mi-banh-bao-pham-van-chi.udpfpm
Vú Heo Bé Đào - Chợ Lớn,_._,"1 Nguyễn Thị Nhỏ, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vu-heo-be-dao-cho-lon
Ăn Vặt Nhà Vịt - Trà Sữa & Bánh Paparoti - 575 Hồng Bàng,_._,"575 Hồng Bàng, P. 2,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/an-vat-nha-vit-tra-sua-banh-paparoti-575-hong-bang.focyft
Cơm Gà Hoa Kiều,7.8,"1045 Hồng Bàng, P. 12,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/com-ga-hoa-kieu
Quán Ăn Tâm Ký - 259A Nguyễn Văn Luông,1.1,"259A Nguyễn Văn Luông,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/quan-an-tam-ky
Chú Long - Cơm Gà Malay,_._,"78/21/B7 Tân Hòa Đông, P.14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chu-long-com-ga-xoi-mo
Cơm Gà Bé Cún - Shop Online,_._,"100A Hậu Giang, P. 6,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-be-cun-shop-online
Cơm Gà Sơn Ký,7.2,"17C Hậu Giang, P 2,Quận 6,TP. HCM",27,https://www.foody.vn/ho-chi-minh/com-ga-son-ky
Quán 250 - Ẩm Thực Trung Hoa,7.7,"250 Gia Phú, P. 1,Quận 6,TP. HCM",7,https://www.foody.vn/ho-chi-minh/quan-250-am-thuc-trung-hoa
Bánh Mì Du Mục - An Dương Vương,7.0,"502 An Dương Vương, P. 10,Quận 6,TP. HCM",4,https://www.foody.vn/ho-chi-minh/banh-mi-du-muc-an-duong-vuong
Cơm Gà Hương Dinh,7.6,"16 Hậu Giang, P. 2,Quận 6,TP. HCM",6,https://www.foody.vn/ho-chi-minh/huong-dinh
Bánh Bột Lọc Miền Trung - Shop Online,_._,"29 Bình Phú, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-bot-loc-mien-trung-shop-online
Du Mục Số 1 - Bánh Mì Bình Dân,8.6,"131 Bà Hom, P. 13,Quận 6,TP. HCM",5,https://www.foody.vn/ho-chi-minh/du-muc-so-1-banh-mi-binh-dan
Minh Ký - Hủ Tiếu Nam Vang & Hủ Tiếu Mực,4.4,"334 Chợ Lớn, P. 11,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/minh-ky-hu-tieu-nam-vang-hu-tieu-muc
"Sài Gòn Tuấn - Hủ Tiếu, Cơm Chiên & Mì Xào",_._,"252 Bình Tiên, P. 4,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/sai-gon-tuan-hu-tieu-com-chien-mi-xao
Chị Dung - Vú Heo Tép Mỡ Nướng,2.0,"199 Lê Quang Sung,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/chi-dung-vu-heo-tep-mo-nuong
