Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Trung Vịt Quán,6.3,"9 Đường Số 7, P. An Phú,Quận 2,TP. HCM",18,https://www.foody.vn/ho-chi-minh/trung-vit-quan
Kim Thảo - Hột Vịt Lộn,6.1,"104 Xuân Thủy,Quận 2,TP. HCM",122,https://www.foody.vn/ho-chi-minh/kim-thao-hot-vit-lon
Gỏi Vịt Ba Chiến,8.0,"210 Nguyễn Duy Trinh, P. Bình Trưng Tây,Quận 2,TP. HCM",3,https://www.foody.vn/ho-chi-minh/goi-vit-ba-chien
Quán Vịt Ba Chiến 2,6.7,"796 Trường Sa, P. 14,Quận 3,TP. HCM",4,https://www.foody.vn/ho-chi-minh/quan-vit-ba-chien-2
"Cháo Vịt, Bún Cá & Bánh Đa Cua Hải Phòng",8.7,"89 Trần Não, P. Bình An,Quận 2,TP. HCM",2,https://www.foody.vn/ho-chi-minh/chao-vit-bun-ca-banh-da-cua-hai-phong
Vịt Quay 2 Chị Em - Nguyễn Công Trứ,7.2,"257 Nguyễn Công Trứ,Quận 1,TP. HCM",17,https://www.foody.vn/ho-chi-minh/vit-quay-2-chi-em
Vịt Cỏ 202 - Chung Cư Nguyễn Thiện Thuật,9.0,"015 Lô J Chung Cư Nguyễn Thiện Thuật, Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",5,https://www.foody.vn/ho-chi-minh/vit-co-202-chung-cu-nguyen-thien-thuat
Xỉn Quán - Vịt Nướng Cuốn Bánh Taco,6.5,"554 Nguyễn Thị Định,Quận 2,TP. HCM",8,https://www.foody.vn/ho-chi-minh/vit-nuong-cuon-banh-taco
Vịt Gò Công 2 - Cháo Vịt & Gỏi Vịt,4.6,"254 Vành Đai Trong, P. Bình Trị Đông B,Quận Bình Tân,TP. HCM",2,https://www.foody.vn/ho-chi-minh/vit-go-cong-2-chao-vit-goi-vit
Xuân Thiệu 3 - Vịt Cỏ,7.0,"112 Vũ Tông Phan, P. An Phú,Quận 2,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xuan-thieu-3-vit-co
Singfood - Cơm Gà & Mì Vịt - Shop Online - 208 Lý Thường Kiệt,5.9,"206/38 Lý Thường Kiệt, P. 14,Quận 10,TP. HCM",4,https://www.foody.vn/ho-chi-minh/singfood-com-ga-mi-vit-shop-online-208-ly-thuong-kiet
Như Ý - Vịt Gò Công 2,8.6,"438 Minh Phụng, P. 9,Quận 11,TP. HCM",6,https://www.foody.vn/ho-chi-minh/nhu-y-vit-go-cong-2
Ốc & Trứng Vịt Lộn Công Viên,7.4,"210 Đường Số 49, P. Bình Trưng Đông,Quận 2,TP. HCM",1,https://www.foody.vn/ho-chi-minh/oc-trung-vit-lon-cong-vien
Cơm Vịt Quay Hồng Kông,10.0,"39 Xuân Thủy, P. Thảo Điền,Quận 2,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-vit-quay-hong-kong
Vịt 3 Món Mỹ Lợi,6.4,"15B Đường Số 2, P. Bình Trưng Đông,Quận 2,TP. HCM",13,https://www.foody.vn/ho-chi-minh/vit-3-mon-my-loi
Cháo Vịt 91,1.8,"91 Trần Não,Quận 2,TP. HCM",1,https://www.foody.vn/ho-chi-minh/chao-vit-91
Bảy Nga Quán - Gỏi Vịt & Lẩu Vịt,9.6,"641 Nguyễn Duy Trinh, P. Bình Trưng Đông,Quận 2,TP. HCM",1,https://www.foody.vn/ho-chi-minh/bay-nga-quan-goi-vit-lau-vit
Vịt Cỏ Đồng - 273 Lê Đức Thọ,9.8,"273 Lê Đức Thọ, P. 17,Quận Gò Vấp,TP. HCM",2,https://www.foody.vn/ho-chi-minh/vit-co-dong
O Hạnh - Quán Gà Vịt Nướng - Đường Số 42,10.0,"176 Đường Số 42, P. Bình Trưng Đông,Quận 2,TP. HCM",1,https://www.foody.vn/ho-chi-minh/o-hanh-quan-ga-vit-nuong
