Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Cháo Vịt Bé Ba - Võ Văn Tần,_._,"175/1 Võ Văn Tần, P. 5,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-vit-be-ba-vo-van-tan
"Yumi Food - Hột Vịt Lộn, Khoai Lang & Bánh Tráng - Nguyễn Đình Chiểu",_._,"241/41 Nguyễn Đình Chiểu, P. 5,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/yumi-food-hot-vit-lon-khoai-lang-banh-trang-nguyen-dinh-chieu
Vịt Cỏ 36 - Quán Nhậu Bình Dân,_._,"361 Man Thiện, P. Tăng Nhơn Phú A,Quận 9,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-co-36-quan-nhau-binh-dan
Quán Vịt Hương,_._,"59 Trần Văn Đang, P. 9,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-vit-huong
Minhty - Vịt Nấu Chao,_._,"400/22 Cách Mạng Tháng 8, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/minhty-vit-nau-chao
Bún Măng Vịt - Đường Số 39,_._,"92 Đường Số 39,Quận 2,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-vit-duong-so-39
Gà & Vịt Miền Quê Nướng - Chung Cư Nguyễn Thiện Thuật,_._,"022 Lô H Chung Cư Nguyễn Thiện Thuật, Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-vit-mien-que-nuong-chung-cu-nguyen-thien-thuat
"Quán May Mắn - Bún Măng, Gỏi Vịt & Cháo Lòng",_._,"88 Đường Số 2,Quận Bình Tân,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-may-man-bun-mang-goi-vit-chao-long
Ngọc Quyên - Vịt Gà Nướng Tây Bắc,_._,"163A Trần Văn Đang, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ngoc-quyen-vit-ga-nuong-tay-bac
Cơm Lam Gà Nướng Muối Ớt - Vịt Nướng Lá Mắc Mật,_._,"29A Trần Văn Đang, P. 9,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-lam-ga-nuong-muoi-ot-vit-nuong-la-mac-mat
Lẩu Vịt Xiêm Nấu Chao Miền Tây,_._,"237/90 Trần Văn Đang, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/lau-vit-xiem-nau-chao-mien-tay
Bún Vịt & Hủ Tíu Bò Kho - Đường 3 Tháng 2,_._,"606/138 Đường 3 Tháng 2, P. 14,Quận 10,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-vit-hu-tiu-bo-kho-duong-3-thang-2
Chân Vịt Singapo Siêu Cay,_._,"491/51 Nguyễn Đình Chiểu, P. 2,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chan-vit-singapo-sieu-cay
Nhất Hải - Bánh Gạo Cay & Vịt Chiên,_._,"37 Trần Văn Đang, P. 9,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nhat-hai-banh-gao-cay-vit-chien
Bún Miến Gỏi Vịt Duyên - Trần Văn Đang,_._,"219/65A Trần Văn Đang, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mien-goi-vit-duyen-tran-van-dang
VỊT QUAY SỐ 1 - Cách Mạng Tháng 8,_._,"430 Cách Mạng Tháng 8, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-quay-so-1-cach-mang-thang-8
Nhà Vịt 462 - Bún & Miến Vịt - Cách Mạng Tháng Tám,_._,"480/30 Cách Mạng Tháng Tám, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nha-vit-462-bun-mien-vit-cach-mang-thang-tam.fnwfms
FoodFest - Vịt Quay Jacky - Mì Vịt & Cơm Xá Xíu - NowFoodxCoca-Cola,_._,"504 Lê Văn Sỹ, P. 14,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/foodfest-vit-quay-jacky-mi-vit-com-xa-xiu-nowfoodxcoca-cola
