Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Dinh Ý - Cơm Gà Xối Mỡ & Cafe - Đường Số 10,_._,"2S - 2T Đường Số 10, Ấp 2, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/dinh-y-com-ga-xoi-mo-cafe-duong-so-10
Cơm Gà Xối Mỡ Trà My - Cơm - Thới Hòa,_._,"7 Thới Hòa, X. Vĩnh Lộc A,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-tra-my-com-thoi-hoa.jhhwbb
Công Hậu 1 - Cơm Gà Xối Mỡ,_._,"B4/20C Trần Đại Nghĩa,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/cong-hau-1-com-ga-xoi-mo
Cô Năm - Cơm Chiên Gà Xối Mỡ,_._,"A7/9B Võ Văn Vân,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-nam-com-chien-ga-xoi-mo
Nũng Nịu - Cơm Gà Xối Mỡ - Đường Số 9A,_._,"120 Đường Số 9A, X. Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nung-niu-com-ga-xoi-mo-duong-so-9a
Quán Ăn Trần Ký Cơm Chiên Giòn Gà Xối Mỡ,_._,"C1/5A1 Ấp 3, Xã Vĩnh Lộc A,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-tran-ky-com-chien-gion-ga-xoi-mo
Ngọc Ký - Cơm Gà Xối Mỡ - Vĩnh Lộc,_._,"A6/8C Vĩnh Lộc, X. Vĩnh Lộc A,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ngoc-ky-com-ga-xoi-mo-vinh-loc.jnwbj0
Quán Cơm Việt Hoa,8.6,"A6/A11 Quốc Lộ 50, Xã. Bình Hưng,Huyện Bình Chánh,TP. HCM",2,https://www.foody.vn/ho-chi-minh/quan-com-viet-hoa
Hà Ký - Hủ Tiếu Xào,9.8,"A30/10 Quốc Lộ 50,Huyện Bình Chánh,TP. HCM",1,https://www.foody.vn/ho-chi-minh/ha-ky-hu-tieu-xao
Bếp Tâm Tịnh - Cơm Gà - Phạm Hùng,_._,"C1/18 Phạm Hùng, X. Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bep-tam-tinh-com-ga-pham-hung.g5e4in
Cơm Gà 89 - Quách Điêu,8.3,"C2/5 Quách Điêu, X. Vĩnh Lộc A,Huyện Bình Chánh,TP. HCM",3,https://www.foody.vn/ho-chi-minh/com-ga-89-quach-dieu
Bánh Mì Hồng Lan,_._,"C1/18 Phạm Hùng, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-mi-hong-lan
Quán Ăn Toàn Ký,_._,"B8/4 Võ Văn Vân,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-toan-ky
Quán Ăn Khang Ký - Quách Điêu,_._,"F12/2 Quách Điêu,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-khang-ky-quach-dieu
Bánh Cuốn Ngon - Đường Số 5,7.1,"81 Đường Số 5,Huyện Bình Chánh,TP. HCM",2,https://www.foody.vn/ho-chi-minh/banh-cuon-ngon-duong-so-5
